ID;STATION CODE;LOCATIONS;STATE;Temp;TempW;DO;DOW;Conductivity;ConductivityW;NI;NIW;WQI;WQI clf
1331;1643;NAGAVALLI AT RAYAGADA D/S. ORISSA;ODISHA;28;0.64;7.6;0.68;301;0.004;0.5;0.004508234;119.2454736;0
1332;2422;NAGAVALI PENTA U/S. JAYKAYPUR TOWN;ODISHA;28;0.64;7.3;0.65;225;0.003;0.5;0.004508234;93.18911449;0
1333;2423;BUDHABALANGA. D/S OF BARIPADA TOWN;ODISHA;27;0.58;7.4;0.66;238;0.003;0.2;0.001748091;135.4007875;0
1334;2424;BUDHABALANGA AT BALASORE D/S;ODISHA;27;0.58;7.2;0.64;835;0.013;0.7;0.00634833;100.5766681;0
1336;2426;Vansdhara MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT);ODISHA;28;0.64;7;0.62;240;0.003;0.4;0.003588187;82.29114203;0
1337;2427;Vansdhara GUNUPUR (INTERSTATE BOUNDRY);ODISHA;29;0.69;7.4;0.66;153;0.002;0.5;0.004508234;80.27458754;0
1338;2442;GAUTAMINANGODAVARI RIVER;PONDICHERRY;33;0.92;7.7;0.69;220;0.003;11;0.101113258;88.99366667;0
1339;2443;GAUTAMINANGODAVARI RIVER;PONDICHERRY;33;0.92;7.1;0.63;406;0.006;15.8;0.145275554;80.12190841;0
1340;2444;CORINGA RIVER;PONDICHERRY;33;0.92;6.8;0.61;309;0.005;15.3;0.140675315;113.4251626;0
1341;2445;MAHE RIVER;PONDICHERRY;28;0.64;5.1;0.45;4120;0.063;108.7;1;114.6057942;0
1342;1685;ARASALAR RIVER KARAIKAL REGION. PONDICHERRY;PONDICHERRY;21;0.25;7.6;0.68;446;0.007;1.4;0.012788665;77.81807362;0
1351;1444;KALI AT D/S WEST COAST PAPER MILL. KARNATAKA;KARNATAKA;27;0.58;7;0.62;286;0.004;0.9;0.008188426;126.2100087;0
1355;1023;GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA). PUNJAB;PUNJAB;22;0.31;6;0.53;755;0.011;2.1;0.019229;123.2781783;0
1356;1024;GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA).PUNJAB;PUNJAB;21;0.25;4.9;0.43;892;0.013;4.4;0.0403901;371.5147414;0
1357;1025;GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA.DEBWALI ROAD.HARYANA;HARYANA;22;0.31;6.4;0.57;1085;0.016;8.1;0.07443187;122.8030304;0
1358;1026;GHAGGAR GHNAN2 AT CHANDARPUR SYPHON.  HARYANA;HARYANA;20;0.19;5.6;0.5;905;0.014;7.1;0.065231392;170.4187928;0
1359;1295;GHAGGAR NEAR BANKARPUR.DERA BASSI.PUNJAB;PUNJAB;22;0.31;5;0.44;813;0.012;2.2;0.020149048;138.4957412;0
1360;1473;GHAGGAR AT RATANHERI. D/S OF PATIALA NADI (AFTER CONFL.). PUNJAB;PUNJAB;21;0.25;5.6;0.5;964;0.015;4.2;0.038550005;365.3051061;0
1361;1698;GHAGGAR AT D/S CHHATBIR. PUNJAB;PUNJAB;20;0.19;5.7;0.5;968;0.015;3.1;0.028429478;250.5166325;0
1362;1699;GHAGGAR AT U/S DHAKANSU NALLAH. PUNJAB;PUNJAB;21;0.25;5.3;0.47;779;0.012;3.1;0.028429478;306.9654003;0
1363;1700;D/S DHAKANSU NALLAH. PUNJAB;PUNJAB;21;0.25;4.8;0.42;825;0.012;4.6;0.042230196;449.4129551;0
1364;1701;GHAGGAR AT D/S JHARMAL NADI. PUNJAB;PUNJAB;23;0.36;2.9;0.25;1035;0.016;3.9;0.035789861;250.6802739;0
1365;1702;GHAGGAR AT U/S JHARMAL NADI. PUNJAB;PUNJAB;21;0.25;4.5;0.39;885;0.013;3.3;0.030269574;172.5132826;0
1366;1703;GHAGGER AT MOONAK. PUNJAB;PUNJAB;20;0.19;4.8;0.42;896;0.013;4.1;0.037629957;315.0919084;0
1367;1704;GHAGGAR AT D/S SARDULGARH. PUNJAB;PUNJAB;24;0.42;3.1;0.27;1130;0.017;4.1;0.037629957;383.6358667;0
1368;1705;GHAGGAR AT U/S SARDULGARH. PUNJAB;PUNJAB;25;0.47;3.1;0.27;1000;0.015;3.7;0.033949765;301.2355333;0
1369;1884;GHAGGAR AT KALA AMB D/S MARKANDA RIVER;HARYANA;28;0.64;1.9;0.16;2187;0.033;5.4;0.049590579;3225.333183;0
1370;1885; RIVER GHAGGAR AT D/S OF SURAJPUR;HARYANA;28;0.64;7;0.62;350;0.005;0.52;0.004692244;77.96606203;0
1371;1887;GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA);HARYANA;16;-0.03;7.2;0.64;930;0.014;1.5;0.013708713;98.14863478;0
1372;1870;RIVER SUKHANA AT PARWANOO. DISTT. SOLAN. H.P.;HIMACHAL PRADESH;22;0.31;5.475;0.48;;0;1.26;0.011500598;121.4926798;0
